transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost,supplier_clean,category_clean,quantity_clean,sale_date_clean,unit_cost_clean,unit_price_clean,labour_cost_clean,inventory_level_clean,labour_hours_clean,store_id_clean,region_clean,manager,store_size,store_type,opening_year,revenue,gross_profit,stockout,sale_month
T000571,S06,2025-06-27 00:00:00,Sports,2,activepro,East,59.53,121.7,31,2.76,73.19 CAD,ActivePro,Sports,2.0,2025-06-27,59.53,121.7,73.19,31.0,2.76,S06,East,Manager_F,Medium,Mall,2020,243.4,124.34,0,2025-06
T000763,S18,2025-02-14 00:00:00,Beauty,2,Glow Works,West,17.62,40.84,10,,119.32,GlowWorks,Beauty,2.0,2025-02-14,17.62,40.84,119.32,10.0,,S18,West,Manager_R,Medium,Outlet,2023,81.68,46.440000000000005,0,2025-02
T000827,S27,2025-01-06 00:00:00,Grocery,2,FreshFarm,West,6.41,10.74,14,4.56,125.6,FreshFarm,Grocery,2.0,2025-01-06,6.41,10.74,125.6,14.0,4.56,S27,West,Manager_[,Large,Outlet,2014,21.48,8.66,0,2025-01
T000175,S01,2025-05-06 00:00:00,Electronics,8,NorthStar,East,231.33,289.13,48,5.34,113.35,NorthStar,Electronics,8.0,2025-05-06,231.33,289.13,113.35,48.0,5.34,S01,East,Manager_A,Medium,Street,2020,2313.04,462.39999999999986,0,2025-05
T000865,S24,2025-01-04 00:00:00,Electronics,4,northstar,West,254.64,340.15,63,3.55,99.26,NorthStar,Electronics,4.0,2025-01-04,254.64,340.15,99.26,63.0,3.55,S24,West,Manager_X,Medium,Street,2013,1360.6,342.03999999999996,0,2025-01
T001088,S27,2025-01-26 00:00:00,Home,2,BudgetSource,West,51.48,100.44,19,4.22,134.57,BudgetSource,Home,2.0,2025-01-26,51.48,100.44,134.57,19.0,4.22,S27,West,Manager_[,Large,Outlet,2014,200.88,97.92,0,2025-01
T001320,S03,2025-05-13 00:00:00,Beauty,7,GlowWorks,North,16.24,32.2,83,4.21,86.04,GlowWorks,Beauty,7.0,2025-05-13,16.24,32.2,86.04,83.0,4.21,S03,North,Manager_C,Large,Street,2020,225.40000000000003,111.72000000000003,0,2025-05
T002753,S18,2025-06-01 00:00:00,Electronics,1,NorthStar,West,220.57,$296.03,50,3.75,97.26,NorthStar,Electronics,1.0,2025-06-01,220.57,296.03,97.26,50.0,3.75,S18,West,Manager_R,Medium,Outlet,2023,296.03,75.45999999999998,0,2025-06
T002610,S28,2025-04-02 00:00:00,Electronics,4,NorthStar,West, 251.66 ,330.6,20,5.68,189.79,NorthStar,Electronics,4.0,2025-04-02,251.66,330.6,189.79,20.0,5.68,S28,West,Manager_\,Small,Outlet,2012,1322.4,315.7600000000001,0,2025-04
T001297,S05,07-Jan-2025,Apparel,9,StyleHub,East,32.07,60.07,76,5.06,136.2,StyleHub,Apparel,9.0,2025-01-07,32.07,60.07,136.2,76.0,5.06,S05,East,Manager_E,Small,Mall,2022,540.63,252.0,0,2025-01
T002840,S12,04/04/2025,Home,1,BudgetSource,South,$54.64,102.4,105,3.81,82.44 CAD,BudgetSource,Home,1.0,2025-04-04,54.64,102.4,82.44,105.0,3.81,S12,South,Manager_L,Large,Street,2012,102.4,47.760000000000005,0,2025-04
T001688,S21,2025-05-21 00:00:00,Sports,1,ActivePro,North,51.98,109.39,155,4.78,105.4,ActivePro,Sports,1.0,2025-05-21,51.98,109.39,105.4,155.0,4.78,S21,North,Manager_U,Medium,Mall,2014,109.39,57.410000000000004,0,2025-05
T001074,S15,2025-06-13 00:00:00,Home,2,BudgetSource,East,48.34,83.97,121,5.82,149.65,BudgetSource,Home,2.0,2025-06-13,48.34,83.97,149.65,121.0,5.82,S15,East,Manager_O,Large,Outlet,2010,167.94,71.25999999999999,0,2025-06
T002179,S11,2025-05-08 00:00:00,Sports,1,ActivePro,South,54.9,102.65,146,5.51,131.19,ActivePro,Sports,1.0,2025-05-08,54.9,102.65,131.19,146.0,5.51,S11,South,Manager_K,Medium,Outlet,2019,102.65,47.75000000000001,0,2025-05
T002172,S23,2025-02-20 00:00:00,Apparel,4,StyleHub,South,25.66,$45.52,147,3.23,77.89 CAD,StyleHub,Apparel,4.0,2025-02-20,25.66,45.52,77.89,147.0,3.23,S23,South,Manager_W,Small,Outlet,2022,182.08,79.44000000000001,0,2025-02
T002437,S16,2025-04-06 00:00:00,Electronics,3,NorthStar,South,250.46,302.1,73,5.33,108.95,NorthStar,Electronics,3.0,2025-04-06,250.46,302.1,108.95,73.0,5.33,S16,South,Manager_P,Large,Mall,2008,906.3000000000001,154.92000000000004,0,2025-04
T001923,S20,2025-06-22 00:00:00,Apparel,4,StyleHub,South,26.07,57.32,24,3.73,83.24,StyleHub,Apparel,4.0,2025-06-22,26.07,57.32,83.24,24.0,3.73,S20,South,Manager_T,Large,Mall,2010,229.28,125.0,0,2025-06
T000431,S02,2025-06-02 00:00:00,Apparel,2,StyleHub,South,27.89,57.69 CAD,123,unknown,147.45,StyleHub,Apparel,2.0,2025-06-02,27.89,57.69,147.45,123.0,,S02,South,Manager_B,Medium,Street,2017,115.38,59.599999999999994,0,2025-06
